ProductID,Category,SubCategory,LaunchDate,Price
P2000,Furniture,Table,2021-04-03,910.53
P2001,Clothing,Jackets,2021-06-29,208.79
P2002,Furniture,Sofa,2022-06-28,506.78
P2003,Clothing,Jeans,2021-09-21,914.91
P2004,Clothing,Shoes,2023-02-04,871.69
P2005,Electronics,Camera,2023-09-14,84.55
P2006,Electronics,Camera,2023-09-18,847.29
P2007,Furniture,Sofa,2021-04-03,792.78
P2008,Electronics,Headphones,2022-07-04,132.35
P2009,Clothing,Shoes,2022-08-22,387.22
P2010,Furniture,Sofa,2021-04-21,678.09
P2011,Clothing,Shirts,2022-09-27,885.39
P2012,Furniture,Sofa,2023-07-27,613.98
P2013,Furniture,Chair,2022-10-13,825.62
P2014,Furniture,Sofa,2022-10-27,414.21
P2015,Electronics,Mobile,2023-08-27,46.84
P2016,Clothing,Shirts,2021-04-10,242.45
P2017,Furniture,Table,2022-02-02,459.11
P2018,Furniture,Bed,2022-08-25,744.85
P2019,Electronics,Camera,2022-11-02,108.03
P2020,Clothing,Jackets,2023-08-20,952.01
P2021,Electronics,Headphones,2021-08-11,448.95
P2022,Electronics,Headphones,2021-04-12,981.12
P2023,Clothing,Shoes,2021-03-04,404.16
P2024,Electronics,Mobile,2023-08-30,849.55
P2025,Clothing,Shirts,2022-11-10,219.98
P2026,Furniture,Chair,2021-02-21,788.93
P2027,Electronics,Laptop,2023-03-17,568.93
P2028,Electronics,Laptop,2022-08-24,223.79
P2029,Electronics,Headphones,2023-03-04,156.08
P2030,Furniture,Chair,2021-10-11,859.82
P2031,Electronics,Laptop,2022-07-08,258.15
P2032,Electronics,Mobile,2022-11-08,867.78
P2033,Electronics,Mobile,2022-01-02,792.08
P2034,Electronics,Headphones,2021-01-17,182.5
P2035,Electronics,Laptop,2023-01-30,426.75
P2036,Electronics,Mobile,2022-05-03,453.79
P2037,Clothing,Shirts,2022-04-08,508.8
P2038,Furniture,Chair,2023-01-15,785.39
P2039,Furniture,Sofa,2022-04-15,646.91
P2040,Electronics,Mobile,2022-05-06,848.83
P2041,Clothing,Shirts,2022-05-18,715.28
P2042,Clothing,Shirts,2023-07-10,89.98
P2043,Furniture,Table,2021-03-09,134.93
P2044,Furniture,Sofa,2022-01-26,994.68
P2045,Furniture,Sofa,2022-04-10,510.5
P2046,Clothing,Shirts,2023-03-24,704.76
P2047,Furniture,Table,2022-03-17,457.04
P2048,Electronics,Camera,2021-12-14,829.15
P2049,Clothing,Jackets,2023-01-18,104.13
